epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,6674.04,0.88509,0.53235,0.99875,0.90041,0.85881,0.91441,0.68391,1.08048,0.58098,1.1151,0.00034227,0.00034227,0.00034227
110,6735.28,0.88327,0.53309,0.99384,0.89824,0.86077,0.91227,0.68275,1.08267,0.58289,1.11473,0.000303842,0.000303842,0.000303842
111,6797.21,0.82064,0.4438,0.96605,0.86945,0.87945,0.90808,0.66756,1.10616,0.59127,1.12378,0.000268667,0.000268667,0.000268667
112,6858.02,0.81617,0.4404,0.96523,0.88367,0.87438,0.91071,0.67124,1.09988,0.58953,1.12066,0.000236769,0.000236769,0.000236769
113,6918.91,0.80888,0.43573,0.96005,0.8941,0.86232,0.91298,0.67462,1.09205,0.58484,1.11593,0.000208169,0.000208169,0.000208169
114,6979.7,0.8042,0.43377,0.96021,0.89602,0.86081,0.90937,0.67146,1.09041,0.58464,1.11413,0.000182888,0.000182888,0.000182888
115,7040.56,0.80339,0.43257,0.9592,0.89627,0.86392,0.91099,0.6736,1.08375,0.58421,1.11186,0.000160943,0.000160943,0.000160943
116,7101.43,0.79103,0.42731,0.95827,0.89494,0.86467,0.91166,0.6811,1.07554,0.57991,1.10931,0.000142348,0.000142348,0.000142348
117,7162.27,0.79804,0.42806,0.95443,0.89484,0.86719,0.91118,0.67657,1.07986,0.5816,1.11105,0.000127117,0.000127117,0.000127117
118,7223.05,0.78414,0.42321,0.9517,0.89707,0.86432,0.91188,0.68274,1.07408,0.58045,1.10872,0.000115259,0.000115259,0.000115259
119,7283.77,0.78835,0.42474,0.95255,0.89979,0.85741,0.90975,0.6784,1.07403,0.57987,1.10919,0.000106784,0.000106784,0.000106784
120,7344.57,0.78785,0.42608,0.95584,0.90227,0.86271,0.91084,0.67881,1.07264,0.58095,1.10867,0.000101696,0.000101696,0.000101696
